Data,Temperatura,Umiditatea,Vreme,Perioada,Vant,Activitate seismica,Calitate Aer,Viteza Vant
2023-05-22 18:34:27,24.0,46.25,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:35:14,24.0,46.0,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:36:57,24.0,46.0,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:37:37,24.0,46.0,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:37:49,24.0,46.25,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:38:07,24.0,46.5,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:38:18,24.0,46.5,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:38:43,24.0,46.5,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:38:55,24.0,46.5,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:39:06,24.0,46.5,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:39:30,24.0,46.5,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:39:47,24.0,46.5,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:39:59,24.0,46.5,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:40:10,24.0,46.5,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:40:28,24.0,46.5,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:40:52,24.0,46.5,Senin,Zi,Vant slab,Inactiv,Normal,0
2023-05-22 18:41:29,24.25,46.5,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:41:38,24.25,46.5,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 18:41:47,24.0,42.75,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 18:42:10,24.25,43.0,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 18:42:19,24.25,42.75,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 18:42:28,24.25,43.5,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 18:42:37,24.0,43.5,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 18:42:55,24.0,43.5,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 18:43:08,24.0,44.0,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 18:43:17,24.0,44.0,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 18:43:39,24.0,43.75,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 18:43:54,24.0,43.75,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 18:44:14,24.5,43.75,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 18:44:25,24.0,43.0,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:44:37,24.25,47.0,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:44:54,24.5,47.0,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:45:06,24.25,47.0,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:45:30,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:45:42,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:46:06,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:46:17,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:46:35,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:46:47,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:47:11,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:47:34,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:47:46,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:47:58,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:48:09,24.5,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:48:27,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:48:39,24.5,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:48:50,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:51:34,24.25,47.25,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 18:51:43,24.25,47.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 18:52:26,24.25,46.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 18:52:45,24.5,46.75,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 18:52:54,24.5,46.5,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 18:53:07,24.5,46.5,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 18:53:37,24.75,46.75,Innorat,Zi,SV------>NE,Inactiv,Normal,10
2023-05-22 18:53:54,24.75,45.75,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:54:05,24.75,48.0,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:54:17,24.75,47.75,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:54:41,24.75,47.75,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:54:52,24.75,48.0,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:55:21,24.75,47.75,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:55:33,24.75,47.5,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:55:44,24.75,47.75,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:55:56,24.75,47.5,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:56:08,24.75,47.25,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:56:19,24.75,47.25,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:56:31,24.75,47.5,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:56:48,24.75,47.5,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:57:06,24.75,47.75,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:57:17,24.75,47.75,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:58:12,24.75,47.75,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:58:24,24.75,47.75,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:58:36,24.75,47.75,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:58:47,24.75,47.5,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:58:59,24.75,47.75,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:59:46,24.75,47.0,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 18:59:58,24.75,47.0,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 19:00:20,24.75,47.0,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 19:00:37,24.75,47.0,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 19:00:55,24.75,47.0,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 19:01:42,24.75,47.0,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 19:02:41,24.75,47.0,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 19:02:52,24.75,47.0,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 19:03:09,24.75,46.75,Senin,Zi,SV------>NE,Inactiv,Normal,0
2023-05-22 19:03:48,24.5,46.75,Senin,Zi,NE------>SV,Inactiv,Normal,0
2023-05-22 19:03:56,24.5,47.0,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:04:05,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:04:14,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:04:23,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:04:32,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:04:41,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:04:50,24.5,44.5,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:04:59,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:05:08,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:05:24,24.5,44.5,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:05:43,24.5,44.0,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:05:55,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:06:07,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:06:16,24.5,44.5,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:06:39,24.5,44.5,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:06:48,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:06:57,24.25,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:07:05,24.5,44.0,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:07:14,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:07:30,24.5,45.0,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:07:43,24.25,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:07:59,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:08:07,24.5,44.5,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:08:23,24.5,44.75,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:08:32,24.25,44.5,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:08:41,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:08:50,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:09:02,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:09:14,24.5,44.5,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:09:23,24.5,44.5,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:09:32,24.5,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:09:41,24.5,44.0,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:09:54,24.25,44.0,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:10:09,24.25,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:10:18,24.5,44.0,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:10:27,24.25,44.0,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:10:36,24.25,44.0,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:10:45,24.25,44.0,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:10:54,24.25,44.0,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:11:03,24.25,44.0,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:11:22,24.25,44.75,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:11:31,24.0,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:11:40,24.0,43.75,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:11:55,24.0,44.25,Innorat,Zi,NE------>SV,Inactiv,Normal,10
2023-05-22 19:12:18,24.25,43.75,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 19:12:27,24.25,43.0,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 19:12:39,24.0,43.75,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 19:12:48,24.0,44.0,Innorat,Zi,SE------>NV,Inactiv,Normal,10
2023-05-22 19:12:57,24.0,43.75,Innorat,Zi,SE------>NV,Inactiv,Normal,10
