Data,Temperatura,Umiditatea,Vreme,Perioada,Vant,Activitate seismica,Calitate Aer,Viteza Vant
11:00:00,25.0,34.5,Senin,Zi,NE------>SV,Inactiv,Normal,0
11:00:14,25.0,34.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:00:26,25.0,34.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:00:34,25.0,34.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:00:49,25.0,34.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:01:03,25.0,34.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:01:16,25.0,34.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:01:30,25.0,33.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:01:42,25.0,33.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:02:05,25.0,34.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:02:16,25.0,34.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:02:27,25.0,34.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:02:38,25.0,33.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:02:52,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:03:15,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:03:26,25.0,33.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:03:40,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:03:52,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:04:03,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:04:22,25.0,33.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:04:30,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:04:51,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:05:05,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:05:17,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:05:30,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:05:44,25.0,34.0,Senin,Zi,NE------>SV,Inactiv,Poluare Moderata,5
11:05:56,25.0,34.0,Senin,Zi,NE------>SV,Inactiv,Poluare Moderata,5
11:06:14,25.0,34.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:06:24,25.0,34.5,Senin,Zi,NE------>SV,  Activ Usor,Normal,5
11:06:39,25.0,34.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:06:47,25.0,34.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:06:57,25.0,34.0,Senin,Zi,NE------>SV,Inactiv,Poluare Moderata,5
11:07:07,25.0,34.5,Senin,Zi,NE------>SV,Inactiv,Poluare Moderata,5
11:07:23,25.0,34.75,Senin,Zi,NE------>SV,Inactiv,Poluare Moderata,5
11:07:33,25.0,34.5,Innorat,Zi,NE------>SV,Inactiv,Poluare Moderata,5
11:07:45,25.0,34.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:07:56,25.0,34.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:08:09,25.0,34.75,Senin,Zi,NE------>SV,  Activ Usor,Normal,50
11:08:18,25.0,34.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:08:29,25.0,35.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:08:38,25.0,34.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:08:46,25.0,34.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:08:54,25.0,34.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:09:12,25.0,34.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:09:21,25.0,34.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:09:29,25.0,34.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:09:38,25.0,34.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:09:52,25.0,34.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:10:00,25.0,34.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:10:21,25.0,33.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:10:30,25.0,34.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:10:38,25.0,33.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:10:50,25.0,33.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:11:04,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:11:13,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:11:21,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:11:36,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:11:44,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:11:53,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:12:01,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:12:10,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:12:18,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:12:26,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:12:35,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:12:46,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:12:55,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:13:03,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:13:12,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:13:23,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:13:31,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:13:45,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:13:54,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:14:13,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:14:22,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:14:30,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:14:39,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:14:50,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:14:58,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:15:12,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:15:23,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:15:34,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:15:42,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:15:51,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:16:14,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:16:23,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:16:34,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:16:43,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:16:54,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:17:03,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:17:11,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:17:20,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:17:36,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:17:50,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:17:59,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:18:07,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:18:16,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:18:29,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:18:38,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:18:46,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:18:55,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:19:03,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:19:12,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:19:20,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:19:34,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
